antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Blood Operative'}),"frozenset({'Disinformation Campaign', 'Doom Whisperer'})",0.0196078431372549,0.023965141612200435,0.012345679012345678,0.6296296296296297,26.272727272727273,0.011875774274851552,2.635294117647059
frozenset({'Disinformation Campaign'}),"frozenset({'Thought Erasure', 'Dream Eater'})",0.026870007262164125,0.02251270878721859,0.015250544662309368,0.5675675675675675,25.210985178727114,0.014645628013705819,2.2604393609295568
"frozenset({'Thought Erasure', 'Dream Eater'})",frozenset({'Disinformation Campaign'}),0.02251270878721859,0.026870007262164125,0.015250544662309368,0.6774193548387096,25.210985178727114,0.014645628013705819,3.0167029774872907
frozenset({'Blood Operative'}),"frozenset({'Disinformation Campaign', 'Ritual of Soot'})",0.0196078431372549,0.026870007262164125,0.013071895424836602,0.6666666666666667,24.810810810810814,0.012545032537343188,2.919389978213508
frozenset({'Disinformation Campaign'}),frozenset({'Blood Operative'}),0.026870007262164125,0.0196078431372549,0.013071895424836602,0.4864864864864865,24.810810810810814,0.012545032537343188,1.9091847265221877
frozenset({'Blood Operative'}),"frozenset({'Disinformation Campaign', 'Thought Erasure'})",0.0196078431372549,0.026870007262164125,0.013071895424836602,0.6666666666666667,24.810810810810814,0.012545032537343188,2.919389978213508
frozenset({'Blood Operative'}),frozenset({'Disinformation Campaign'}),0.0196078431372549,0.026870007262164125,0.013071895424836602,0.6666666666666667,24.810810810810814,0.012545032537343188,2.919389978213508
"frozenset({'Disinformation Campaign', 'Thought Erasure'})",frozenset({'Blood Operative'}),0.026870007262164125,0.0196078431372549,0.013071895424836602,0.4864864864864865,24.810810810810814,0.012545032537343188,1.9091847265221877
"frozenset({'Disinformation Campaign', 'Ritual of Soot'})",frozenset({'Blood Operative'}),0.026870007262164125,0.0196078431372549,0.013071895424836602,0.4864864864864865,24.810810810810814,0.012545032537343188,1.9091847265221877
frozenset({'Blood Operative'}),"frozenset({'Disinformation Campaign', 'Thief of Sanity'})",0.0196078431372549,0.023965141612200435,0.011619462599854757,0.5925925925925926,24.727272727272727,0.01114955786236063,2.3957219251336896
"frozenset({'Disinformation Campaign', 'Thief of Sanity'})",frozenset({'Blood Operative'}),0.023965141612200435,0.0196078431372549,0.011619462599854757,0.48484848484848486,24.727272727272727,0.01114955786236063,1.9031141868512111
frozenset({'Boros Challenger'}),"frozenset({'Legion Warboss', 'Aurelia, Exemplar of Justice'})",0.01670297748729121,0.026870007262164125,0.010893246187363835,0.6521739130434784,24.271445358401884,0.010444437060980557,2.797748729121279
"frozenset({'Legion Warboss', 'Aurelia, Exemplar of Justice'})",frozenset({'Boros Challenger'}),0.026870007262164125,0.01670297748729121,0.010893246187363835,0.40540540540540543,24.271445358401884,0.010444437060980557,1.653726810589556
"frozenset({'Thought Erasure', 'Sinister Sabotage'})",frozenset({'Disinformation Campaign'}),0.03122730573710966,0.026870007262164125,0.020334059549745823,0.6511627906976744,24.233815210559396,0.019494981617811866,2.789639312515129
